Date,Title,Time,Details,Category,Location,RegistrationLink
2026-05-01,Sensory Play Day,10:00 AM - 12:00 PM,Sensory exploration play and connection,Sensory,Ava's Hub,
2026-05-02,Social Skills Group,4:00 PM - 5:30 PM,Peer engagement and social participation,Social,Ava's Hub,
2026-05-03,Family Fun Saturday,11:00 AM - 1:00 PM,Family activities and connection,Family,Ava's Hub,
2026-05-04,Star Wars Day,,Wear your gear and celebrate together,Special Event,Ava's Hub,
2026-05-05,Parent Training: De-escalation,6:00 PM - 7:30 PM,Behavior support and de-escalation strategies,Parent Training,Ava's Hub,
2026-05-06,OT Tips for Home Success,6:00 PM - 7:00 PM,Practical OT strategies for home routines,Workshop,Ava's Hub,
2026-05-07,Wellness Wednesday,6:00 PM - 7:00 PM,Yoga and mindfulness for relaxation,Wellness,Ava's Hub,
2026-05-08,Life Skills Workshop,4:30 PM - 6:00 PM,Functional life skills training,Life Skills,Ava's Hub,
2026-05-09,Teen Hangout Night,5:00 PM - 7:00 PM,Teen social connection and games,Teen Social,Ava's Hub,
2026-05-10,Community Outing: Bowling Day,11:00 AM - 1:30 PM,Community participation and recreation,Community,Ava's Hub,
2026-05-11,Mother's Day Celebration Brunch & Crafts,11:00 AM - 1:00 PM,Family brunch and craft activities,Holiday,Ava's Hub,
2026-05-12,Sibling Support Group,6:00 PM - 7:30 PM,Support and connection for siblings,Support Group,Ava's Hub,
2026-05-13,Ask the OT Q&A Session,6:00 PM - 7:00 PM,Open OT questions and support,Q&A,Ava's Hub,
2026-05-14,Art & Expression Therapy Group,4:30 PM - 5:30 PM,Creative expression and emotional regulation,Therapy Group,Ava's Hub,
2026-05-15,Cooking Club: Healthy Snacks,4:30 PM - 6:00 PM,Hands-on cooking and nutrition,Cooking,Ava's Hub,
2026-05-16,Social Skills Group,4:00 PM - 5:30 PM,Peer communication and teamwork,Social,Ava's Hub,
2026-05-17,Family Movie & Popcorn,11:00 AM - 1:00 PM,Relaxed family social event,Family,Ava's Hub,
2026-05-19,Parent Training: Crisis Management,6:00 PM - 7:30 PM,Crisis prevention and support strategies,Parent Training,Ava's Hub,
2026-05-20,Fine Motor Fun Night,4:30 PM - 5:30 PM,Fine motor and sensory activities,Fine Motor,Ava's Hub,
2026-05-21,Community Resource Fair,5:00 PM - 7:00 PM,Community resources and support connections,Community,Ava's Hub,
2026-05-22,Garden & Grow Hands-On Activity,4:30 PM - 6:00 PM,Gardening and sensory exploration,Gardening,Ava's Hub,
2026-05-23,Teen Life Skills Night,5:00 PM - 7:00 PM,Independent living and social skill development,Teen Life Skills,Ava's Hub,
2026-05-24,Park Playdate & Picnic,11:00 AM - 1:30 PM,Outdoor play and community connection,Community,Ava's Hub,
2026-05-26,Memorial Day - Ava's Hub Closed,,Closed for holiday,Holiday,Ava's Hub,
2026-05-27,OT Tips for Sensory Needs,6:00 PM - 7:00 PM,Sensory support strategies for families,Workshop,Ava's Hub,
2026-05-28,Mindful Movement Yoga for Kids,4:30 PM - 5:30 PM,Movement and mindfulness activities,Wellness,Ava's Hub,
2026-05-29,Life Skills Workshop,4:30 PM - 6:00 PM,Real-world independence training,Life Skills,Ava's Hub,
2026-05-30,Social Skills Group,4:00 PM - 5:30 PM,Peer interaction and communication practice,Social,Ava's Hub,
2026-05-31,End of Month Celebration,11:00 AM - 1:00 PM,Community celebration and recognition,Celebration,Ava's Hub,
